name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
Wish I Didn't Miss You,Mahogany Soul,Angie Stone,3tZm76otWH20xzJC7icHCk,2001-10-16,66,270893,0.856,0.355,0.755,0.000621,0.145,0.842,-5.691,0.0331,123.883,10,4,happy
You Stepped Into My Life,Children Of The World,Bee Gees,51VbUJoYc1TX1e7GPcLhFQ,1976-01-01,51,206160,0.767,0.045,0.43,0.00273,0.143,0.961,-12.667,0.0619,96.225,4,4,happy
Love On Top,4,Beyoncé,1z6WtY7X4HQJvzxC4UgkSf,2011-06-24,77,267413,0.652,0.0849,0.748,0,0.604,0.652,-5.242,0.0887,94.1,0,4,happy
Lift Your Spirit,Lift Your Spirit,Aloe Blacc,3xNTBhJ57eE1Vs8nwNHr4Q,2013-01-01,46,206413,0.611,0.00516,0.845,5.8e-06,0.189,0.8,-5.127,0.0538,95.008,10,4,happy
You Know I'm No Good,Back To Black,Amy Winehouse,4zQuwW24dweWcaX0fEJkP2,2006-10-27,69,256946,0.705,0.0132,0.806,0.00428,0.0701,0.734,-3.607,0.0309,103.383,9,4,happy
Lovely Day,Menagerie,Bill Withers,0bRXwKfigvpKZUurwqAlEh,1977-10-29,78,254560,0.69,0.292,0.651,0.00241,0.105,0.706,-8.267,0.0324,97.918,9,4,happy
Turnin' Me Up,In My Mind,BJ The Chicago Kid,0FZTAm6OyJoAzAtLAsH0f9,2016-02-19,0,269173,0.722,0.0372,0.789,0.142,0.0551,0.819,-4.364,0.0967,78.504,9,4,happy
Charcoal Baby,Charcoal Baby,Blood Orange,4yOT0bYT83QZ0aXlJ3Tb2p,2018-07-26,0,242341,0.627,0.149,0.479,0.000423,0.135,0.494,-7.648,0.0387,183.255,7,4,happy
Lowdown,Silk Degrees,Boz Scaggs,0nlZjTPzW6S9JIESuGfImT,1976,64,315640,0.662,0.0812,0.788,0.141,0.0351,0.929,-5.544,0.0635,116.499,11,4,happy
Forever (Radio Edit),Forever (Radio Edit),Brian McKnight,67Mijs9mJ0yD1hTd8WF8MF,2017-03-31,2,219146,0.707,0.432,0.531,0.000107,0.119,0.49,-4.649,0.0416,93.968,2,4,happy
24K Magic,24K Magic,Bruno Mars,2gFvRmQiWg9fN9i74Q0aiw,2016-10-07,69,225983,0.818,0.034,0.803,0,0.153,0.632,-4.282,0.0797,106.97,1,4,happy
SUMMER,EVERYTHING IS LOVE (Clean),The Carters,7zmleW3XZx0uUsL2CkFuDe,2018-06-15,53,285200,0.592,0.12,0.569,1.75e-05,0.251,0.562,-6.374,0.0634,135.414,10,4,happy
Brick Road,Brick Road,CeeLo Green,3NH9gfw5qQCApVmhL6KXiO,2018-02-23,43,201818,0.511,0.121,0.491,0,0.113,0.338,-10.095,0.298,175.762,7,4,happy
Attention,Attention,Charlie Puth,4iLqG9SeJSnt0cSPICSjxv,2017-04-20,5,211475,0.774,0.0969,0.626,3.12e-05,0.0848,0.777,-4.432,0.0432,100.041,3,4,happy
I Want Your Love,C'est Chic,CHIC,6HZKlK1mDDBsILMoNNncxL,1978-08-11,0,415466,0.706,0.0232,0.723,0.0441,0.0994,0.937,-9.235,0.0382,113.121,5,4,happy
7 Days,Rewind - The Collection,Craig David,49eAIPivcw5idA57ZWnp5h,2001,55,237373,0.644,0.261,0.843,0,0.0947,0.882,-6.247,0.0512,83.024,4,4,happy
Chunky,24K Magic,Bruno Mars,0mBKv9DkYfQHjdMcw2jdyI,2016-11-17,71,186973,0.571,0.0208,0.539,0,0.125,0.727,-4.446,0.116,202.103,5,4,happy
No Fear,No Fear,DeJ Loaf,2H881m3JRA8lpuuwaQL6zy,2017-06-16,65,169853,0.614,0.387,0.682,0,0.134,0.566,-4.117,0.102,100.202,11,4,happy
Willing & Able,Willing & Able,Disclosure,4NSAqKiT1jtmoz9jMzLGw7,2015-08-14,0,292759,0.525,0.247,0.643,0,0.106,0.945,-6.874,0.816,199.727,5,4,happy
Shining Star,That's The Way Of The World,"Earth, Wind & Fire",0RgcOUQg4qYAEt9RIdf3oB,1975-03-15,64,170160,0.676,0.668,0.692,0.00915,0.13,0.799,-13.093,0.052,102.516,9,4,happy
Sauce,Ella Mai,Ella Mai,5VqKdNoamMXrmRmqVmi9ke,2018-10-12,59,184958,0.642,0.211,0.614,0,0.123,0.43,-5.335,0.394,99.572,4,4,happy
Starchild,Starchild,Elujay,13Gt4A1ZbYkZbfdQsjKGR6,2018-05-11,0,190152,0.503,0.125,0.615,0.00014,0.0881,0.494,-6.545,0.232,82.533,10,4,happy
That's What I Like,24K Magic,Bruno Mars,0KKkJNfGyhkQ5aFogxQAPU,2016-11-17,84,206693,0.853,0.013,0.56,0,0.0944,0.86,-4.961,0.0406,134.066,1,4,happy
Georgy Porgy (feat. Faith Evans),A Day In The Life,Eric Benét,5AIA8TpGhuilLpHbA6c1bq,1999-02-25,60,280880,0.728,0.00677,0.636,8.47e-05,0.296,0.821,-7.033,0.171,96.512,11,4,happy
Appletree,Baduizm,Erykah Badu,2jAn0rAOyLW6hIEuIDNcoT,1997-01-01,63,265373,0.874,0.0798,0.45,9.11e-05,0.0722,0.619,-10.525,0.0685,94.861,7,4,happy
Better Give U Up,French Kiwi Juice,FKJ,4c60yLpE5lXvICT0pyEaZ5,2017-03-02,65,256800,0.525,0.176,0.72,0.00648,0.0769,0.483,-6.916,0.169,91.708,11,4,happy
Everything (feat. John Legend),Ella Mai,Ella Mai,0V6imIPZVXJEtl2umdNILO,2018-10-12,62,181644,0.395,0.432,0.456,0,0.108,0.0608,-5.358,0.0456,103.85,7,4,happy
My God Has A Telephone,My God Has a Telephone,The Flying Stars Of Brooklyn NY,0Njsdm3fZvEqAveqcgDISP,2017-10-20,0,175492,0.583,0.864,0.404,0.00572,0.103,0.635,-8.598,0.0455,197.873,11,4,happy
Spinning the Wheel,Older,George Michael,4V4Ur4PJskr5vR2ek8VHWw,1996-05-13,56,381626,0.682,0.103,0.444,3.93e-05,0.0982,0.434,-11.141,0.0692,150.282,6,4,happy
Thinkin Bout You,channel ORANGE,Frank Ocean,7DfFc7a6Rwfi3YQMRbDMau,2012-07-10,75,200746,0.721,0.409,0.339,0.00153,0.0973,0.2,-11.195,0.0532,129.83,0,4,happy
"December, 1963 (Oh, What a Night) - 2007 Remaster",Jersey Beat: The Music Of Frankie Valli and The Four Seasons,Frankie Valli & The Four Seasons,5CuQUbas6KGKtHCZfNG7wY,2007-06-04,47,213333,0.708,0.0918,0.67,3.56e-06,0.0408,0.92,-7.596,0.0294,104.522,1,4,happy
Full Clip,Full Clip: A Decade Of Gang Starr,Gang Starr,30oTS7bm0aH3p7lqjEIu8q,1999-07-13,68,217440,0.875,0.0227,0.745,2.37e-06,0.287,0.749,-5.878,0.269,95.201,1,4,happy
Boo'd Up,READY,Ella Mai,0At2qAoaVjIwWNAqrscXli,2017-02-22,74,256063,0.561,0.0862,0.779,0,0.078,0.235,-5.107,0.0531,81.965,10,4,happy
Give Me the Night - Edit,The Best of George Benson,George Benson,7IQMKJNcppgahjNWVPmxkl,1995-11-10,61,219560,0.867,0.343,0.79,0.0131,0.245,0.814,-5.424,0.0518,110.048,1,4,happy
My Jamaican Guy,Island Life,Grace Jones,0VEoxxvR26zfJvjUC8k1tt,1985-01-01,0,359560,0.748,0.0842,0.865,0.0184,0.0883,0.52,-11.905,0.0805,94.646,7,4,happy
Don’t Lose Your Steam,Don't Lose Your Steam,Gregory Porter,4jI3sxuP0AbvW1Hcdf2hA8,2016-03-04,0,197999,0.422,0.513,0.726,0.00018,0.141,0.734,-4.196,0.205,171.791,4,4,happy
Tell Me,Groove Theory,Groove Theory,2lp8xjq0WTm3HZKHuDEweg,1995-07-25,66,236066,0.8,0.0355,0.361,3.75e-06,0.0668,0.887,-10.849,0.0635,93.059,6,4,happy
No Time To Play,Jazzmatazz Volume 1,Guru,0pPf7GFLcuqp3Eis5Hm5yw,1993-01-01,55,294400,0.767,0.0825,0.735,0,0.108,0.789,-10.296,0.0456,100.014,2,4,happy
Loose Tonight,Loose Tonight,Hips,3PE4AQbEvRXZf8Vdj1ph1V,2017-07-28,55,272333,0.783,0.0136,0.633,0.000458,0.143,0.913,-4.017,0.0368,107.989,6,4,happy
Video,Acoustic Soul,India.Arie,5ewa79Xg31HDefmPUpZX0Y,2001-03-27,0,249960,0.652,0.111,0.604,1.01e-05,0.0409,0.675,-8.766,0.227,170.003,9,4,happy
Work To Do,The Essential Isley Brothers,The Isley Brothers,6CZd52tAm2Cms0px3idmoc,2004,48,190653,0.694,0.367,0.854,1.79e-06,0.0769,0.936,-6.908,0.0389,85.429,11,4,happy
Holding On,Holding On,Gregory Porter,7hrUma6oSEaVwnlwkQa7XB,2016-03-18,0,254893,0.508,0.162,0.339,2.27e-05,0.0724,0.124,-8.603,0.0915,195.797,8,4,happy
The Circle,Helping Hands,Ivan Ave,60DLWXwghcL7vBZmanhLtU,2016-02-12,50,209613,0.695,0.275,0.84,0.00162,0.104,0.862,-9.378,0.136,174.024,11,4,happy
Don't Walk Away,Jade To The Max,Jade,7tsRp7QKUBp6hc9bth0h7x,1992-11-13,62,216373,0.831,0.147,0.915,0.00571,0.196,0.881,-7.501,0.128,102.979,10,4,happy
Make Me Feel,Dirty Computer,Janelle Monáe,5gW5dSy3vXJxgzma4rQuzH,2018-04-27,67,194230,0.859,0.132,0.413,0,0.334,0.697,-7.399,0.182,115.035,1,4,happy
That's The Way Love Goes,Janet,Janet Jackson,29rQJydAlO0uMyWvRIZxQg,1993-05-18,68,265106,0.703,0.302,0.7,0.471,0.0718,0.582,-6.789,0.0693,97.675,5,4,happy
I Believe In Love,R.O.S.E. (Empowerment),Jessie J,4tOmFSoQA9ji8lTxAbbvq1,2018-05-25,52,229773,0.504,0.402,0.494,1.62e-06,0.367,0.425,-7.623,0.284,69.32,5,4,happy
Let's Get Lifted,Get Lifted,John Legend,2S3osqN6ruuoAg1kUvf7u4,2004,0,217466,0.56,0.189,0.71,1.52e-05,0.697,0.498,-8.27,0.0458,87.004,0,4,happy
Free Me,Colour Me Free,Joss Stone,2osA5KIMQLLaNLHiuusgGy,2009-01-01,58,233040,0.744,0.0257,0.615,2.73e-05,0.0672,0.567,-5.122,0.294,166.836,2,4,happy
SoulMate,SoulMate,Justin Timberlake,4YLtrBhzjsI2LT6ybXQHeD,2018-07-03,57,196231,0.765,0.0222,0.784,0.00121,0.187,0.449,-5.215,0.0488,109.956,7,4,happy
Young Dumb & Broke,American Teen,Khalid,5Z3GHaZ6ec9bsiI5BenrbY,2017-04-27,83,202546,0.798,0.199,0.539,1.66e-05,0.165,0.394,-6.351,0.0421,136.949,1,4,happy
Got 'Til It's Gone,The Velvet Rope,Janet Jackson,6jUyYHDikmw9WltPojSR37,1997-10-07,67,241760,0.789,0.0218,0.412,0.000312,0.3,0.518,-7.518,0.243,89.914,7,4,happy
Bad Bad News,Bet Ain't Worth the Hand / Bad Bad News,Leon Bridges,5CDrDzan4wRW3Dj4LD6meH,2018-03-13,34,207306,0.781,0.229,0.629,0.000536,0.0881,0.693,-6.152,0.0647,111.975,5,4,happy
Used to Love U,Get Lifted,John Legend,3uBbvynFWlF041WzNVHd1d,2004,1,210866,0.661,0.0347,0.796,0,0.396,0.657,-4.776,0.0833,87.982,7,4,happy
Caminando por la vida,Que El Cielo Espere Sentao..,Melendi,3v1dCP3hk2djfWryqfp7sx,2006-08-14,65,211680,0.695,0.0148,0.958,7.16e-06,0.154,0.711,-3.778,0.0827,108.054,5,4,happy
Un violinista en tu tejado,Curiosa La Cara De Tu Padre,Melendi,62sv8pbKqGwVeN4F20DSXM,2008-09-16,56,222720,0.512,0.405,0.843,0,0.241,0.58,-6.283,0.183,156.388,1,3,happy
Soldadito marinero,Lo mas lejos a tu lado,Fito y Fitipaldis,0eVborSuxUeSg0meWYd9dZ,2003-09-01,69,254373,0.718,0.132,0.431,0.000165,0.0686,0.324,-8.736,0.0314,139.618,2,4,happy
Princesas,Animales,Pereza,3hlWUNjAlbZ6nOjAbrivBv,2005-04-07,66,217000,0.683,0.0634,0.846,0,0.346,0.706,-3.551,0.0422,131.884,7,4,happy
Peter Pan,Personas,El Canto Del Loco,1gkBsKxTpVHIn1nLf05CUo,2008,60,259720,0.568,0.29,0.832,0,0.204,0.48,-3.358,0.0333,92.452,4,4,happy
Sirenas,Dr. Charas,Taburete,4unOsvr9C2NqI9aJXrxpCy,2016-11-18,66,184250,0.686,0.739,0.574,0,0.109,0.251,-6.249,0.0404,126.98,5,4,happy
Carolina - En directo 2000,Sin Enchufe,M-Clan,4UtREbGYnd1nZLckEb5y8J,2001,64,263679,0.649,0.146,0.9,0,0.694,0.86,-4.135,0.0306,123.978,7,4,happy
Kisiera yo saber,Mientras No Cueste Trabajo,Melendi,6eq7Ona0USHJVwIIzjxzta,2006-11-13,51,212693,0.758,0.371,0.929,2.74e-06,0.0534,0.912,-4.397,0.193,104.005,9,4,happy
Por la boca vive el pez,Por la boca vive el pez,Fito y Fitipaldis,24UStI5AYA7g5ufFDh3LH0,2006-09-11,65,269373,0.641,0.255,0.892,1.01e-05,0.221,0.841,-2.812,0.0303,151.229,0,4,happy
Lady Madrid,Aviones,Pereza,5NQw5WJwKRPaaSDHXD04Fs,2009-08-25,63,191586,0.598,0.359,0.655,0,0.0922,0.377,-2.761,0.0256,115.041,0,4,happy
"Marta, Sebas, Guille y los demás",Pájaros En La Cabeza,Amaral,30ddpolNHwXlrS5XO8MiiO,2005-03-14,63,223186,0.598,0.269,0.853,0,0.112,0.66,-4.559,0.0506,102.473,2,4,happy
Cero,Grandes Éxitos y Pequeños Desastres,Dani Martín,49KC8Lp7unw5HC0RxoYUV0,2010,52,260053,0.491,0.152,0.677,4.78e-06,0.438,0.358,-4.193,0.0269,82.037,11,4,happy
La casa por el tejado,Lo mas lejos a tu lado,Fito y Fitipaldis,428cFrawSqeLoyooQjAW9d,2003-09-01,64,267760,0.734,0.323,0.852,2.27e-05,0.421,0.89,-5.632,0.0483,149.976,7,4,happy
Estrella Polar (with Juan Aguirre),Aproximaciones,Pereza,5NV19rJlAYrAAFXQTZVC55,2007,57,211506,0.517,0.0296,0.839,0.000379,0.248,0.778,-3.957,0.0286,126.968,4,4,happy
Eres Tonto,Personas,El Canto Del Loco,4b0nenyFuMI1R48IoZBhTe,2008,54,192426,0.412,0.0146,0.902,0,0.091,0.899,-3.269,0.0534,189.146,5,4,happy
Terriblemente Cruel,Polvora,Leiva,0XPayKZFFZA2PwSRNi1pVU,2014-01-31,60,227600,0.549,0.0281,0.831,0,0.0842,0.615,-4.17,0.0304,125.594,0,4,happy
La flaca,La Flaca,Jarabe De Palo,2LsbizbOeNa4x6qsi2jAMb,1996-09-30,75,261200,0.871,0.52,0.481,5.54e-05,0.0809,0.664,-9.068,0.0383,103.063,7,4,happy
Todo Me Da Igual,Año Zero,Pignoise,4BBC0JXqqZbQH5rQwjiUkp,2010-04-26,51,205026,0.426,0.0286,0.76,0,0.0712,0.876,-5.665,0.0449,127.904,6,4,happy
Pan y mantequilla,El misterioso caso de Efecto Pasillo,Efecto Pasillo,2kZJ5wrpq1gCdHmVEjahoH,2013-12-20,60,202146,0.698,0.238,0.826,0,0.0813,0.91,-5.039,0.042,99.997,10,4,happy
El universo sobre mí,Pájaros En La Cabeza,Amaral,1jJn6iK6o2Vg7iUKHztRTk,2005-03-14,59,249680,0.391,0.135,0.837,0,0.106,0.434,-4.078,0.0404,185.992,2,4,happy
Antes de que cuente diez,Antes de que cuente diez,Fito y Fitipaldis,3xiNRrrVROKlHrflHGNTfG,2009-09-11,63,285040,0.521,0.0835,0.852,0,0.365,0.523,-5.014,0.0624,151.012,6,4,happy
Todo,Animales,Pereza,09QG9D1BI4TRvGq64NghRg,2005-04-07,56,260733,0.579,0.154,0.741,0,0.179,0.538,-4.091,0.0455,168.02,0,4,happy
En Que Estrella Estara,He Perdido Los Zapatos,Nena Daconte,1msphInQ8bBBQGFZkll7FX,2006-01-01,56,140666,0.73,0.279,0.378,1.67e-05,0.0869,0.697,-7.441,0.183,170.044,5,4,happy
Amos del Piano Bar,Tres Tequilas,Taburete,1iaEMe2DMl2IrSYtPa1Dht,2015-08-31,55,172035,0.459,0.805,0.446,0,0.163,0.312,-10.421,0.0313,117.773,0,4,happy
Es gratis - Acústico,Es gratis (Acústico),Arnau Griso,0GKlIuZcQCiv8bvWgRNiAb,2016-04-04,55,203080,0.743,0.508,0.406,0,0.0844,0.903,-10.106,0.0741,126.127,2,4,happy
Devuélveme a mi chica,Hombres G (Edición 30 Aniversario),Hombres G,1Wrzhfa5bNlqvsnCztz190,1985,78,194866,0.603,0.0031,0.843,0.0337,0.445,0.503,-7.597,0.0557,172.676,9,4,happy
Nunca volverá,El sueño de Morfeo (reedicion),El sueño de Morfeo,3TZiiTNmVhLRMhPksHqk8M,2005-03-07,53,194986,0.391,0.00261,0.88,0,0.0742,0.55,-3.172,0.0488,183.901,1,4,happy
Tenia Tanto Que Darte,Retales De Carnaval,Nena Daconte,3Th2of8xIYyImVLXUbzaTp,2008-01-01,61,204560,0.642,0.0465,0.603,0,0.448,0.493,-3.794,0.0349,124.978,1,4,happy
Antes Que Ver El Sol - Con Dani (El Canto Del Loco),Coti,Coti,0BJdpD3m8414QOj8iqFYMR,2003-01-01,62,221626,0.678,0.0832,0.69,0,0.167,0.887,-7.496,0.0312,134.04,9,4,happy
16 Añitos,Grandes Éxitos y Pequeños Desastres,Dani Martín,7BWK5DJqUL8lBXojKKSKyj,2010,46,253733,0.62,0.0364,0.587,0,0.111,0.412,-8.014,0.0275,112.023,0,4,happy
Chica de ayer,Grandes Éxitos: Nacha Pop,Nacha Pop,1aZc9YBrZpKCE1YqSMV5Vg,2005-03-21,56,208026,0.674,0.0579,0.854,0.00041,0.0735,0.684,-4.337,0.034,127.295,7,4,happy
Por quererte,40:04,Efecto Mariposa,35rm7tY2YiGG2H4yDbqj87,2009-04-28,51,254373,0.703,0.0762,0.833,0,0.147,0.887,-3.764,0.0336,139.959,2,4,happy
